domain,size,members,mean_acc,mean_rho,n_eff,evidence,plurality_acc,n_items,strict_acc,n_items_strict
science,5,bytedance_seed+claude_sonnet+deepseek_v4+gemini_pro+kimi_k2,0.8790601187599638,0.4769498626348786,1.7195133588295775,7.188914444443969,0.9073333333333332,250,0.9360730593607306,219
science,5,bytedance_seed+claude_sonnet+deepseek_v4+gemini_pro+qwen_3,0.8792172145371611,0.5463471637425126,1.5696671714450527,6.564760602419832,0.9073333333333332,250,0.9383561643835616,219
science,5,bytedance_seed+claude_sonnet+deepseek_v4+glm_46+gpt5_mini,0.8953476702508961,0.5272178523817626,1.6083006793647492,6.986125180847862,0.902,250,0.9565217391304348,138
science,5,bytedance_seed+claude_sonnet+deepseek_v4+glm_46+kimi_k2,0.8929271999881022,0.5233131717930297,1.616421451999464,6.9800645009900455,0.9046666666666666,250,0.9429530201342282,149
science,5,bytedance_seed+claude_sonnet+deepseek_v4+glm_46+qwen_3,0.8930842957652994,0.5794308237164609,1.5070575679826792,6.5102849950012684,0.9093333333333332,250,0.9466666666666667,150
science,5,bytedance_seed+claude_sonnet+deepseek_v4+gpt5_mini+kimi_k2,0.9033573075149839,0.5218242209370223,1.6195397424590474,7.17832186860455,0.912,250,0.9532967032967034,182
science,5,bytedance_seed+claude_sonnet+deepseek_v4+gpt5_mini+qwen_3,0.903514403292181,0.5957194168511147,1.4780315729939746,6.553773627905014,0.9163333333333332,250,0.9505494505494505,182
science,5,bytedance_seed+claude_sonnet+deepseek_v4+kimi_k2+qwen_3,0.9010939330293871,0.5696868385745345,1.5249726373230488,6.720041263145271,0.9143333333333332,250,0.9429223744292238,219
science,5,bytedance_seed+claude_sonnet+gemini_pro+glm_46+gpt5_mini,0.8730504814958759,0.48322321254033157,1.704801455574816,7.033036411888018,0.8993333333333332,250,0.9496402877697842,139
science,5,bytedance_seed+claude_sonnet+gemini_pro+glm_46+kimi_k2,0.870630011233082,0.4889837961239799,1.6915120555502499,6.941568391249904,0.9033333333333332,250,0.9342105263157895,152
science,5,bytedance_seed+claude_sonnet+gemini_pro+glm_46+qwen_3,0.8707871070102792,0.5385536389885781,1.5851806880293984,6.5074214999292765,0.8986666666666666,250,0.9379084967320261,153
science,5,bytedance_seed+claude_sonnet+gemini_pro+gpt5_mini+kimi_k2,0.8810601187599637,0.46924436922127527,1.737935051689557,7.298861927358114,0.9053333333333332,250,0.9368421052631579,190
science,5,bytedance_seed+claude_sonnet+gemini_pro+gpt5_mini+qwen_3,0.8812172145371611,0.5365917560765348,1.589134376687233,6.67632256827615,0.9033333333333332,250,0.9315789473684211,190
science,5,bytedance_seed+claude_sonnet+gemini_pro+kimi_k2+qwen_3,0.8787967442743672,0.5202244419723356,1.6229035744426514,6.780993061423467,0.9093333333333332,250,0.9261603375527426,237
science,5,bytedance_seed+claude_sonnet+glm_46+gpt5_mini+kimi_k2,0.894927199988102,0.5256077018843529,1.6116394885753487,6.993409003039325,0.9066666666666666,250,0.9428571428571428,140
science,5,bytedance_seed+claude_sonnet+glm_46+gpt5_mini+qwen_3,0.8950842957652994,0.5796754395554095,1.5066132374242944,6.540185864426038,0.9073333333333332,250,0.9428571428571428,140
science,5,bytedance_seed+claude_sonnet+glm_46+kimi_k2+qwen_3,0.8926638255025054,0.5725414781904055,1.5196802023285256,6.558132658893147,0.91,250,0.934640522875817,153
science,5,bytedance_seed+claude_sonnet+gpt5_mini+kimi_k2+qwen_3,0.903093933029387,0.5648937082705322,1.5339423869806332,6.794304852437969,0.914,250,0.9345549738219895,191
science,5,bytedance_seed+deepseek_v4+gemini_pro+glm_46+gpt5_mini,0.8766060370514316,0.4979287698402107,1.6712821466502124,6.949024145417875,0.9,250,0.9562043795620438,137
science,5,bytedance_seed+deepseek_v4+gemini_pro+glm_46+kimi_k2,0.8741855667886377,0.47731279179798786,1.7186553214743807,7.107858590862365,0.9006666666666666,250,0.9459459459459459,148
